Index,GO,Genes,Gene_Count,Truth Label
23,GO:1902680,ACVRL1 NGFR ARX HDAC1 USP16 MEIS1 LPIN1 ARID3C TBR1 WBP2 ZXDA RORC PHIP HEY1 IL33 TRIAP1 ZFAT ATAD2B MICAL2 PRKCB MAPK7 TEAD1 SLC9A1 RNF10 TBX22 GPATCH3 ZBTB38 MSL1 EDF1 FHL5 CAMKK2 ZNF786 POU2AF3 PLCB1 MACC1 TRAF6 WDR5 EPC2 PRKD1 NPM1 HIF1A NFKB2 CIITA ELL2 TSG101 NIBAN2 PHF5A MED27 PBX4 NR1D1 GNL3 ZNF827 MSGN1 NUCKS1 PTH PITHD1 NRF1 TNIP2 ZMIZ1 AUTS2 SIRT2 WWP2 NHLH1 IL4I1 ZNF292 MBTPS2 AXIN1 BMP2 SERTAD2 APEX1 AGRN CRTC3 CHCHD10 ZBTB18 NCOA3 MYBL1 SPIB DYRK1A ILK BATF RFXAP GPBP1L1 PAX6 IL2 NR1I3 LGR4 MED13 THRB CREB3L2 NR2F1 CCNA2 HOXD4 WWOX PIN1 STOX1 PPP3CA TGFB1 IL11 TRIM44 SOX11 TBX6 UBE3A MEPCE NUP62 NR4A2 BRD7 E2F2 FZD7 TEAD3 SPIN1 PKD1 TCF20 BUD31 ZNF48 SOX2 TFR2 TNFRSF1A MRGBP CDH1 MLLT3 SF3B1 BCL3 TRIM8 RBBP4 CD80 WNT2 DAB2IP NKX3-1 NDP ZGLP1 IPPK DAB2 TAF15 SPP1 ZNF516 BTRC BRCA2 BCL11B PLA2G1B CD28 APBB1 ELK4 MYBL2 PICALM CKAP2 ARID1A NHLH2 RNASEL SOX4 PARP9 EVX1 EGR3 DDRGK1 PHOX2B BCL9 ACTN4 RFX3 VDR GALR3 LHX5 CDK12 ZNF143 ATN1 PSMC5 KAT6B VEGFA ZNF224 KLF4 PCBD1 CTBP1 FOXF1 BICRA EGR1 PRKAA1 NLRC5 TADA2B PHOX2A DLX2 ETV1 TRIM31 CNBP NCL MAFG MAP2K1 ZNF410 CCDC124 SALL2 SEC14L2 PSRC1 CHD3 YAF2 SUPT20H ING1 RIPK3 YEATS4 CD4 JADE1 NOG MAZ RRN3 RXRB TAF1L POU3F2 ATOH1 HOXA11 DVL3 ZNF784 NAA16 GATAD2A PPP1R12A ZNF544 INO80 SMAD5 ZNF229 MYOG OVOL2 TAF1 UTP15 ATF3 NPNT NCOA7 BMPR1A ZFPM2 SUPT5H MAX BPTF PPP3R1 NR1I2 RHOQ ZNF99 TGFB2 HOXB1 IRF8 FOXO1 BMAL1 CDH13 SHOX GABPB2 NOLC1 GINS3 TRIM25 EDN1 CITED1 MTDH ONECUT3 NIPBL LBHD1 FEZF1 BSX MPND CGA KLF2 CCAR1 UCN ZFY TBX2 KDM8 TF TLX2 STAT1 PER1 HOXD8 KAT2B SCX TBX19 RPTOR CENPJ GSX1 KMT2A RBMX CREBL2 ZEB1 NFRKB LRP6 HLTF NEUROD6 AGO1 WWC1 HOXA7 HDAC5 FHOD1 MAPK3 RXRG MEOX1 GRIN1 CREB3L1 RNF6 HSF1 CAND1 TGFBR1 TLR9 IFNB1 PBX1 TLR2 TADA3 CALCOCO1 EGR4 IKBKG TAF4 FOXK2 ATF5 ZNF335 RFPL3 MAF RARA EYA1 TFEB AGT ARID3A NFKBIB ZNF43 ARNT SMAD6 LMO7 ERCC1 AGO2 TFAM RET ZBED1 FEV ID4 SMARCA5 ZNF219 SMARCD3 CCAR2 TRIP4 ZIC3 GLIS3 ARMCX3 ILF3 CARF FOSB DHX33 IL23A NR1H4 ZNF609 HNRNPU ACVR1 RELB TAF3 INO80E ETS1 SOX10 GLIS2 EAF2 ECD INO80D FGFR2 DDX21 METTL23 WNT3A NR2E3 UBE2L3 GAL POU1F1 SGF29 CTCFL SLC11A1 WWTR1 PSMC3 RPS6KA1 CREBRF NAT14 MAK AKT1 ACTR5 KAT2A KLF12 DPF1 ADIRF ZNF107 FSTL3 HMGA1 LHX3 MEOX2 SPAG8 HOXC11 PPP2R5B NKX2-6 DTX3L ESR1 IRX6 DDX39B IL5 NR5A2 OSM AIRE HOXD3 DLX3 NKX2-5 POU2F3 BCL9L FIGLA HIPK2 MMS19 RGMA ZNF729 CBFB STOX2 NANOG EAPP DDX17 ZNF639 TBP MID2 ZNF850 POU4F2 PGR RPS6KA5 CAMK4 HLA-DRB1 POU4F1 NR6A1 TBX15 AP3B1 CHUK RBPJL HCFC2 SKI SP100 ATF4 NKX6-1 MEF2B TCERG1 FUS BARX2 BORCS8-MEF2B SALL4 SOX9 DR1 CAPN3 ZNF484 ELF2 HCLS1 XBP1 PHF2 BMP10 HYAL2 ZFPM1 LRP5L TRIM52 ZFX SSBP3 ZC3H8 SSBP4 IRF3 JUN ZNF304 TP53 TAF2 MORF4L2 MECOM ZNF319 CREB3L3 GDF2 CHD7 GCM2 STAT3 KDM7A RBM23 GTF2A1 MTA1 E4F1 BTBD18 RAI1 FOXJ1 SMYD3 ZNF226 MED31 HNRNPD NPAT CASK EBF2 MEF2C KMT2C ARID5B ZBTB16 SOX7 TASP1 GATA4 EPAS1 RPS6KA3 HEY2 RUVBL1 TERT RIPK2 CREBZF ZBTB7B ELL NFATC4 GFI1B ST18 ABT1 SOX1 RBPJ CDK7 BCAS3 NKX2-3 DAXX IRF1 KLF5 ZNF493 FGF10 HES1 ALX4 KLF14 HOXB2 ARF4 NR0B2 MEAF6 NFATC2IP ANXA2 SOST SIX5 ZNF148 MTOR PCBP2 HMBOX1 NEUROG1 PIM1 PTMS NELFA SOX17 ACTL6A NME2 GABPA EN2 PRDM5 PEG3 SHC1 SETSIP MED26 NFIB STING1 GRHL3 MAPRE3 ARL2BP NAMPT NCBP1 KPNA6 TNFSF11 TESC YAP1 MBD3 LBH PAGE4 CHURC1 VENTX DCAF6 CAMTA2 REST SOX21 DEAF1 MLLT11 LMX1A FOSL1 IL31RA NKX2-8 CD81 MTF1 MED18 SOX3 ISL1 PRMT2 MYDGF HOXA2 TBX4 GSK3A AKIRIN1 TFAP2D LMO2 RNF187 TP63 NRL TP53INP1 PLAGL2 TET2 TBX18 IL18 MTA3 MORF4L1 SALL1 ZNF780B DMRT1 EOMES PRDM11 STAT5A CDK5RAP2 STAT2 NELFE ZNF585B WBP2NL OSR2 FOXJ2 CRTC1 NCBP2 MSTN LPIN2 SOX30 CD40 ZNF717 HOXA10 IGF1 TAF8 FGF23 PELP1 BAZ1B FOS ETS2 KDM1A CSF3 ABHD14B ZNF33A ATMIN ABL1 SERTAD1 GTF2A2 COL1A1 PRKD2 STK16 HOXD9 MAP2K5 SHH IHH ZNF208 TOX2 TGFB1I1 WAS KANSL1 MAPK14 NME1-NME2 BAMBI PMF1 MYBBP1A JUNB FIZ1 CD74 ASH2L UBE2V1 MMP12 RFPL4AL1 NUFIP1 MT3 KLF15 ERCC6 NFKB1 HTATIP2 BMP4 ZNF318 SENP2 ELL3 BCL2L12 GLMP KANSL2 COPS5 HAS3 NEUROD2 CEBPZ SREBF1 NFE4 NR1H3 ZNF485 KLF10 HMGN1 CHEK2 GLI3 PROX1 ATXN7L3 SS18 TFAP2C TCEA1 MRTFB TEAD4 SLC40A1 ETV4 ZBTB48 FOXP3 PHF20 YES1 MLXIPL DLL1 DPF3 GTF2F1 TLX1 ZNF845 RPS6KA4 CCN1 NR2E1 TFAP2A NFYB PQBP1 MOSPD1 SP3 NOTCH3 RREB1 ZBED3 HDGF GTF2H1 RRP1B IRF6 RBM14 SUPT4H1 TBK1 RASL11A MTF2 PCID2 SCAF8 RUNX1 TRIP11 MAFB CNOT9 SUMO2 HLF PDX1 ING5 ATF6 PAX5 PPP3CB OGT TMPRSS6 E2F7 KAT8 FOXA2 LDB2 ZPR1 RAF1 RSF1 EBF3 PAX8 MAP2K3 SERPINF2 TAL1 NOS1 EXOSC9 CCNT2 ILF2 TCF15 NIF3L1 SPIC SF3B3 BARHL1 TBX5 MED19 LEO1 CSRP3 ARNT2 ACTN2 KMT2B BRPF1 MAD2L2 MYB VPS72 TAF5L TCF7L2 AHI1 TAF6L MED1 YWHAH CHCHD2 TRIM16 HOXC10 TAF5 RBPMS ESRRA MESP1 SMO TBL1XR1 ZNF594 ITGA6 TBXT POU2AF1 AFAP1L2 FOXJ3 ZNF711 PLAG1 THAP3 BRD8 TBX3 CITED2 PID1 LHX2 CREBBP KARS1 ZNF345 RFX6 WNT1 POU4F3 HMGN3 F2R PRRX1 CDX2 UTF1 ZFP64 PER2 PWWP2A APP IRF2 CDK5RAP3 APLN NFE2 USP22 PRIM2 FZD5 MAP2K2 PATZ1 FOXK1 TSTD1 NRIP1 MLLT10 E2F8 ZC3H12A HMGN5 TWIST1 PCGF5 ONECUT2 IL6 MRTFA TNF ZNF615 STAT4 HELZ2 ONECUT1 GINS2 TFEC EGF THOC5 ARID1B CRX MGA GLIS1 MAMSTR DRD3 MED17 HEYL TRIM56 TNIP1 HRAS CEBPB ANKRD49 CITED4 WNT11 BLM SETD3 CBX7 ARHGEF2 QRICH1 SMARCC1 NUP85 DRD2 KLF13 NSD3 CDC73 THRAP3 EP400 DVL2 ATRX GDF6 STAT6 CDK2 THRA PTF1A MED9 MED28 NUP98 NR1D2 ZNF629 MYOCD RBBP7 CXXC1 PIK3R2 IRF5 TAF11 TMF1 ZNF423 ESR2 FOXL2 GATAD2B CHD6 ICE1 LDB1 SNX5 PRL TFAP4 STAT5B FOXC1 NEUROG3 EHF MED24 ZNF341 ZNF668 SMARCA1 DRAP1 RFX2 NAA15 APOE MAGED1 BICRAL FGF7 ZNF175 ASXL2 JMY PCBP1 IRF2BPL NFYC YBX1 BIRC2 ZNF593 IL1A ZNF580 ZNF212 SMAD1 ING3 SP1 UBP1 TET3 PHF8 ZNF606 FGF2 USF3 CASZ1 DNAJC2 ACTN1 TRERF1 MED8 BNC1 BRD4 CD86 KMT2D RUVBL2 UHRF1 PSEN1 MTA2 SNW1 ZNF227 ZNF445 LHX4 IFI16 FOXR1 MDFIC MAFF CARM1 DTX1 MIXL1 FOXO3 RB1 TFE3 HOXB9 MED6 NFAT5 UCHL5 DYRK1B KDM3A HOXB5 BMAL2 SIN3A SMAD3 CEBPG TOPORS SPDEF RNF14 HOXD10 GINS1 HOXA13 ZFHX3 ZNF71 SOX8 ZNF451 SRA1 ATOH8 WNT7A ELK1 RGCC SRY MED21 WNT6 TRIM32 MYO6 IRF4 GINS4 CHD4 HSF4 POU2F1 RYBP IFT74 WAC CRLF3 ZBTB7C PBX3 PDLIM1 CSRNP1 ZNF287 PARK7 ATM LITAF RIT2 NCF1 NPAS4 CYTL1 LMO3 GATA1 RARG PAXIP1 ITGA8 CAND2 FOXN1 SREBF2 FOXM1 NCOA6 HDAC2 TRIM13 EPO NSD1 EFCAB7 ARID4B E2F3 DUX4 HNF1A KAT6A FOXH1 EPC1 MED11 HMGB1 PITX3 ZNF513 HGF NPAS2 SMARCC2 RNF4 TAF4B PDGFB IRF9 RTRAF NR2F2 EGFR HAMP DHX9 PRPF6 NFATC2 TRIM5 ATF2 IER5 MET ZNF24 SENP1 ZNF462 OSR1 SUPT6H TFCP2 CNOT7 WDR77 BCL10 ZNF496 ZNF746 PKN1 SATB2 DLX5 DEK ZFP90 SRF ZNF398 ZNF836 GLI2 MYRFL LEF1 PSMD9 ZNF384 NKX2-2 MAML2 SIX3 TBX10 TOX3 MYRF LUM ZNF721 TRIM27 TNKS WT1 TRIM24 MUC1 NCOA2 DDX3X DMTF1 LHX1 BMPR2 TFCP2L1 KAT5 RUNX2 SRC CDK9 KAT7 TET1 ATXN7 NODAL FOXD3 LIF ZNF841 KCNH2 SMARCE1 MED7 MSANTD1 PTOV1 CREB3L4 ALX1 CAMTA1 IL4 MED4 ZNF268 RIGI TBX21 ITGB1BP1 HOXB3 HINFP MED14 SCAND1 TNFSF8 YY2 TP53BP1 SFRP2 RIPK1 ARRB1 BMP5 EP300 PTGES2 HHEX CLOCK SFPQ ING4 ETV6 H2AZ1 ADCYAP1 CEP290 ASCL1 TAF12 INO80B EBF4 E2F1 TP73 TBL1X TCF4 PHF10 ATF6B INSR TACC1 SUPT16H NPAS3 TLR4 NFIX IL17A CEBPE RAP2C RHOG RFX4 RERE LILRB1 SF3B5 PIM2 ZNF131 CCNT1 NOD2 PIH1D1 SMARCA2 DCN MKRN2 CCNK ZSCAN21 KDM1B DNM2 XPC TLR3 SUPT7L JUND IFNL1 AGTR2 TP53INP2 SERTAD3 EGLN1 TOP2A INPP5K HOXA5 ZIC1 ARID3B ERBB4 SSBP2 JAK2 EGR2 PBXIP1 HOXC13 DMRT2 NR4A1 ALYREF GATA5 SRCAP ZNF782 SIX4 WNT4 TRIM14 TDRD3 ABLIM3 MED12 KMT2E CSRNP3 PSMC6 MZF1 BCLAF3 ASXL3 MLLT6 SIRT7 ZNF574 ZNF33B ZNF263 PLAGL1 MEF2D TNNI2 RFPL2 MYF6 WNT5A LMO1 TRIM62 PITX1 TCF21 SOX18 PLSCR1 KLF6 CREB3 IL10 SUB1 KLF7 YY1 POU2F2 UBTF POU2AF2 ATF1 ARID5A SS18L2 DBP FOXN4 ZNF296 GREM1 FLCN ZNF225 MED25 ZKSCAN3 GTF2A1L IGF2 RARB NKRF SIX1 NDN GLYR1 CREB1 VEZF1 MAFA TRIM22 POMC MED15 NKX6-3 MEF2A SMARCB1 HAND1 NFKBIA MLIP CEBPD FZD2 HNRNPAB NMD3 GTF2F2 RLF ATF7 POU5F1 PLAC8 TRIM15 P2RY1 FGF1 GALR1 HJV LMO4 SMAD9 JMJD6 MITF NFATC1 RPRD1B DDN TTC5 HCFC1 BARHL2 ZNF750 AIP SFR1 APBB2 RELA HDAC4 TAF9 NFYA TCF12 PYGO1 CAVIN4 RAX2 FAM170A MED23 MLXIP POGZ ZNF658 FUBP3 CRTC2 ETV2 HMGA2 RORA FSHB ESRRB CTCF ADRB2 S1PR1 INO80C GCM1 ACTR8 DMAP1 HOXB7 PTMA KDM5A ERBB2 PYHIN1 IL26 NR5A1 SMARCD2 PPRC1 MRPL12 BEX1 GABPB1 DHX36 GLI1 FGF4 PRDM15 MED22 EPCAM PPARG NCOA1 MSX1 GMEB2 ZNF407 ZNF585A AR IRX3 PBX2 FOXC2 PKNOX1 IKBKB CDK13 SETX CDC5L TFDP2 PML E2F5 CX3CL1 PCK1 CEBPA CHP2 TFAP2E SKAP1 GATA3 VHL MED20 SOX12 POU3F3 SUPT3H NFIC SBNO2 NOTCH4 TADA2A PARP1 EDRF1 SOX15 DDIT3 LPIN3 NKX2-1 HELT CHD8 WNT8A SS18L1 MYC MBD2 NR2C2 FOSL2 FOXD1 KDM6B AKIRIN2 HIVEP1 ZNF507 IL17F HAND2 CAPRIN2 TLR7 NFIL3 TGFB3 MARS1 CDX1 TAF13 CCPG1 GDNF XRCC6 DVL1 ZNF521 ZNF597 PRDM10 NR1H2 TADA1 RFPL4A RUNX3 ETV5 RBM14-RBM4 ZP3 MSL2 LYL1 ZXDC BACH1 FOXO4 PAXBP1 SPI1 PRKDC ZBTB49 NCK1 MCRS1 TFPT IKZF3 FOXE1 ZNF770 ZNHIT1 HSF2 TRIM28 NFE2L2 INHBA FEZF2 TRIM45 E2F4 AKAP8L SLC38A3 PRDM16 HEATR1 CCNC ASCL2 ATF7IP IRF7 MAML3 TXK ELF3 ZNF267 PPARA CAMK1 GPS2 GALR2 RNF111 TBX20 PMF1-BGLAP ENY2 ERG ACTB MIR9-1HG GPER1 PRKN MAP3K5 FOXA1 BRF1 GATA6 PFKM TFAP2B IL25 PPARGC1B RFC1 ING2 WDR75 NEUROD1 HOXD13 PROP1 ENG ASH1L PITX2 EZH1 NLRP3 MEIS3 ZNF808 MBTD1 ZNF395 PPARGC1A MYCBP NCOA4 MED29 HNRNPK EIF2AK3 RBM15 ACTR6 NOTCH1 SP7 DLX1 FOXD2 IER2 AP3D1 EN1 SFRP1 NCK2 BMP7 LMX1B MAP3K12 ZNF300 UBTFL1 TEF CREB5 ID2 PTCH1 MAVS CELA1 MC1R FOXI1 TEAD2 MYOD1 USF2 PIK3R1 DDX11 ZNF281 THOC1 PEDS1-UBE2V1 HIVEP3 FZD4 GRHL1 SIRT1 ACTL6B PAX3 MAP2K7 SMARCA4 ARID4A ESRRG CTBP2 ZEB2 TRIM21 CCDC62 HOXB4 IKZF4 OTX1 NFATC3 AHR CTNNB1 ACTR3 HOXC4 MDK GBX2 PRDM2 JUP BHLHA15 VGLL1 BMPR1B VGLL2 MAML1 WDR43 FADD SMAD4 LARP7 HDAC3 TBX1 PCBD2 LYAR NOL11 ACTR2 RXRA ACVR2A GTF2I FBXW11 RFXANK PRDM4 BCLAF1 RAX SIX2 PHB1 RGMB CSRNP2 KANSL3 HAX1 ELK3 ZFP62 MLX BMP6 SMARCD1 FOXA3 HNF1B KLF1 HEXB NR4A3 MEN1 HNF4A GATA2 PAX2 RNF20 MSL3 HES5 TRIM37 HOXA1 REL TRIM38 TFDP1 HSPA5 EIF5A ELF4 ATAD2 IL1B TAF6 PWP1 PF4 PWWP2B ZNF197 CDKN1C ZNF76 FOXF2 MED12L ATOH7 PAX9 SNAI1 ZNF112 MYCN AKNA WASL BRCA1 THAP11 MYSM1 TRRAP ZNF814 CDON ANKRD1 HOXA9 PSMC3IP LRP5 JAG1 NEK4 ICE2 ELF1 NUPR1 TCEA2 OTX2 RFX5 S100A10 PPARD MEIS2 GMEB1 TAF10 GPBP1 MED10 GRHL2 DPF2 ZNF438 PKD2 MED16 PPM1A MYF5 PTPRN DOT1L BRDT ZNF91 NFIA HMGB2 ZBTB17 MECP2 NR3C1 CDX4 USF1 GDF7 USP21 ZMIZ2 F2RL1 ZBED4 SMAD2 FZD1 ABRA ZIC2 PAGR1 TAF7 MED30 ZNF600 RFPL1 WNT10B ZNF473 AATF ARHGEF11 CD38 MCIDAS TCF3 POU3F1 FANK1 ASXL1 ASCL3 SQSTM1 FLI1 CXCL10 HNF4G,1689,positive regulation of RNA biosynthetic process
24,GO:0046825,SFN PARK7 BARD1 XPO1 PTPN14 GAS6 GSK3B IFI27 ANP32B TXN SIRT7 UHMK1 PTPN11 RANGAP1 PRKACA PPM1A SIRT6 DNAJC27 FRAT1 CTDSPL2 RAPGEF3 BAG3 FRAT2 CDK5 TPR IL1B SP100 YWHAE CAMK1 XPO4 RBM22 EMD,32,regulation of protein export from nucleus
25,GO:0006473,GATA2 SUPT7L FOXO1 SF3B3 BMAL1 CPA4 BRCA2 ESCO2 MSL3 KANSL2 MUC1 NAA30 SNCA CRTC2 DDX3X SGF29 MBD3 BRPF1 MYOCD FAM161A KAT14 NAA11 APBB1 WBP2 TADA1 PYGO2 VPS72 KAT5 TAF2 TAF5L TAF6L MORF4L2 MSL2 DIP2A NAA25 TRIM16 IRF4 TAF5 TERF2IP KAT2A RAPGEF3 SPI1 KAT7 SOX4 ATXN7L3 HAT1 ATXN7 SMO TAF6 LDB1 PRKAA2 DMAP1 MAP3K7 MCRS1 ISL1 PWWP2B PBXIP1 MSL1 SET NAA35 LIF SPHK1 PARK7 NAA10 BRD8 GTF2B MAPT ESCO1 NAT8 MBIP FOXP3 EPC2 WDR5 GSK3B DSCC1 NAT8B PER1 KAT6B TAF9 PHF20 SIRT1 ACTL6B KMT2E KAT2B CREBBP BRCA1 NAA15 KMT2A NAA50 TRRAP CHEK1 MORF4L1 CTBP1 EOMES NFYB MLLT1 HDAC2 NAA38 HDAC5 RUVBL1 PWWP2A HINT2 NFYC AUTS2 SPHK2 ZZZ3 NAA80 BRPF3 ZMPSTE24 ARRB1 CAMK1 SNAI2 EP300 PRKAA1 CHD5 NUPR1 TADA2B ENY2 USP22 TAOK1 CLOCK POR KAT6A ING4 BRD1 ACTB EPC1 TAF10 NOC2L NAT9 ING3 POLE3 SMC5 ARID5A PML TADA3 COMMD3-BMI1 ATAT1 TAF4 JADE2 BEND3 BAZ1B NAA20 PAX6 TWIST1 FLCN ATF2 THAP7 SUPT20H SMAD4 GATA3 TAF12 MAGEA2B MECP2 YEATS4 PCGF2 CEP295 NAP1L2 PIWIL2 JADE1 ING5 ATG5 RUVBL2 GLYR1 BLOC1S1 SDR16C5 SUPT3H MEAF6 OGT TAF7 LACRT KAT8 SHH AANAT PHF20L1 SMARCB1 MBTD1 TADA2A NAA16 SMARCA5 PPARGC1A IWS1 SETD5 YEATS2 BAG6 KANSL1 BRD7 KANSL3 MYBBP1A NOS1 DR1 NAT10 BMI1 ACTL6A DEK JADE3 DIP2B EID1 SF3B5 HDAC6 MRGBP NAA60 LEF1 PIH1D1 SIN3A KLF15 NAA40 HCFC1 ERCC6 MLLT3 SF3B1 MAGEA2 EP400 NFYA DDX21,215,protein acetylation
26,GO:0035928,TST MRPL18 PNPT1,3,rRNA import into mitochondrion
27,GO:0006414,ASCC3 DIO2 AARS1 SHFL EEF1G MRPL44 ALKBH1 GFM1 TSFM DPH5 GTPBP1 SECISBP2 DPH3 USP16 TRNAU1AP GTPBP2 NEMF EEF2 RPLP1 METTL18 EIF5AL1 EIF4A3 ABTB1 TUFM EIF5A2 TRIP4 RACK1 EEF1D EEF2K HBS1L ZNF598 RPLP2 CPEB2 DPH1 LTN1 GFM2 SECISBP2L SELENOT GRM5 SRP9 DPH6 EEF1B2 MTRFR EIF5A EEF1A1 DNAJC24 DPH2 EEF1A2 EEFSEC DPH3P1 ASCC2 CPEB3 SEPSECS DPH7 MTRES1 EFL1,56,translational elongation
28,GO:0042350,GMDS FCSK GFUS,3,GDP-L-fucose biosynthetic process
29,GO:0090153,ORMDL3 SPHK2 ENPP7 SPHK1 PRKCD ORMDL1 SAMD8 CCN1 ABCA2 PLA2G6 SIRT3 ORMDL2 PRKAA1,13,regulation of sphingolipid biosynthetic process
30,GO:0006337,TNP1 SMARCB1 SSRP1 SUPT16H SMARCD2 SMARCE1 SMARCD3 SMARCC2 H2BC1 H2AC25 SMARCA4 SMARCC1 ARID2 ARID1A SMARCD1 HMGA1 GRWD1 NFE2 SET,19,nucleosome disassembly
31,GO:0016480,MAF1 PRDX5 SETD5 NAB2,4,negative regulation of transcription by RNA polymerase III
32,GO:0016045,PGLYRP3 HLA-A TLR2 TLR6 NAIP NOD2 HLA-B HLA-DRB1 SSC5D TLR1 PGLYRP1 DMBT1 PGLYRP2 CD1D NLRC4 PGLYRP4 NOD1,17,detection of bacterium
33,GO:0016116,BCO2 RPE65 BCO1,3,carotenoid metabolic process
34,GO:1903016,APCS PTX3,2,negative regulation of exo-alpha-sialidase activity
35,GO:0003209,WNT2 BMP2 TGFB2 HEG1 TBX5 BMPR2 NSD2 NOTCH1 GATA4 SHOX2 MYH6 CCN1 NKX2-5 ACVR1 HEY2 SOX4 PROX1 MESP1 SMO NOTCH2 NOG BMP10 DLL4 ENG ISL1 SOS1 WNT5A ZFPM1 TBX20,29,cardiac atrium morphogenesis
36,GO:0042149,SLC7A5 NFE2L2 BECN1 UPP1 IFI16 ASNS PIK3C3 KPTN PIK3R4 PRKAG3 SIRT1 ATG14 NUAK2 PRKAG2 SH3GLB1 TBL2 SESN1 LOC102724428 SIK1 MTMR3 MYBBP1A SUV39H1 ZC3H12A FOXO3 TP53 KAT5 SESN2 BHLHA15 EIF2AK3 PMAIP1 BRSK2 ITFG2 KICS2 HNRNPA1 BCL2 RRP8 CPEB4 PICK1 NIM1K IMPACT PLIN2 HSPA5 PLIN3 NUAK1 XBP1 PRKAA2 ATF4 SLC2A1 SZT2 SIK2 PRKAA1 BRSK1 PRKAG1 SESN3,54,cellular response to glucose starvation
37,GO:0050773,CAPRIN2 DAB2IP BMP7 RELN PAK3 FBXW8 CHRNB2 CRK SEMA4D EPHB2 HECW2 DBN1 YWHAH PACSIN1 ELAVL4 PTPRD PTN NEDD4L ITPKA OBSL1 TBC1D24 ALK MFSD2A BCL11A SKOR2 CHRNA3 NEUROG3 GPRASP3 GORASP1 GSK3A SEZ6 SIPA1L1 GSK3B TLX2 EZH2 CUL7 DGKG CUX1 EEF2K LZTS1 DHX36 NR2E1 RAB17 PQBP1 STK11 BMP5 CRTC1 NFATC4 RAPGEF2 CAMSAP2 DBNL CYFIP1 IL1RAPL1 NSMF CDKL5 RAP2A CAPRIN1 TRPC5 CAMK2B CRKL SS18L2 PAFAH1B1 RTN4IP1 ID1 RHOA COBL TNIK SDC2 VLDLR STAU2 ABL1 ZDHHC15 CDKL3 TMEM106B KIAA0319 BAIAP2 PARP6 EPHA4 ACTR2 PPP3CA MGARP CSMD3 DPYSL5 NEDD4 HECW1 CDC20 RAB21 CARM1 SARM1 LRP8 CAMK1D SS18L1 HDAC6 ARF6 FBXO31 MARK1 KNDC1 KHDC3L DCC ANKRD27 FAT3 ADGRB3 ANAPC2 CUX2,104,regulation of dendrite development
38,GO:0019835,GZMH C9 RRAGA GSDMB GZMB MMD C8B LBP CR1 C8G LYZL6 NINJ1 MICB NKG7 C5 GZMA C7 C8A PRF1 CAMP MICA PLA2G2A GZMM C6 LYZ TGFB1,26,cytolysis
39,GO:0072498,WNT9A HOXA11 HOXC11 SLC2A10 BMP7 SHOX2 COL2A1 NOG OSR2 IHH EXT1 CTNNB1 BMP4 HYAL1 OSR1,15,embryonic skeletal joint development
40,GO:0002824,STAT6 PRKCQ CD1D IL12A HLA-A AZGP1 CD28 MAD2L2 NFKBIZ NSD2 SLC11A1 TFRC P2RX7 ZP3 NLRP10 TYK2 KMT5C PLA2G4A TRAF2 CD1C HMCES CD55 PRKCZ ADA CD81 IL1B JAK2 MSH2 HLA-F MAP3K7 MLH1 SHLD2 IL18R1 ZBTB1 CARD9 CD1B B2M TRAF6 TAP2 HLA-DRB3 FOXP3 PTPRC SHLD1 IL27RA CD274 LTA TNFSF13B IL4 PAXIP1 IL18 TBX21 C3 MR1 HSPD1 C17orf99 HLA-E CLCF1 IL12RB1 TP53BP1 RIPK2 SASH3 CLEC7A RIF1 EXOSC3 RSAD2 KMT5B FBXO38 HLA-B FZD5 CD40 MALT1 NFKBID IL12B HLA-DRA HPX CYRIB ARID5A CD1E SLAMF1 PVR CD226 DENND1B IL2 NECTIN2 IL6 FADD HLA-DRB1 TNF GATA3 CD1A CD4 STX7 FCGR1A CCR2 XCL1 TGFB1 SLC22A13 NLRP3 CLEC6A IL23A TNFSF13 ATAD5 EXOSC6 NOD2 BTK TREM2 IL23R HLA-G IL1R1 FCER2 TNFSF4,111,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
41,GO:0006600,GAMT SLC6A8 GATM,3,creatine metabolic process
